zz,Count
15221,92
97034,92
77007,92
80112,92
91360,92
59718,92
30080,92
98056,91
95128,91
90232,91
52246,91
77494,91
85225,91
94127,91
30044,91
16803,91
21042,91
55108,91
98661,91
17603,91
94601,91
92683,91
98136,91
97504,91
60126,91
75093,90
60025,90
77573,90
93010,90
30092,90
96734,90
21230,90
28607,90
14623,90
78701,90
90814,90
40206,90
91942,90
80012,90
98040,90
2476,90
21224,90
45069,89
83709,89
14450,89
84115,89
48067,89
78664,89
30350,89
60402,89
91101,89
30329,89
12065,89
85254,89
87107,89
94577,89
52556,88
60115,88
58103,88
92506,88
30024,88
85718,88
22015,88
94565,88
30096,88
22193,88
60565,88
5403,88
60056,88
22304,88
21117,88
85745,88
75214,88
7306,88
30067,88
30319,88
20165,88
92373,88
33186,88
27615,87
60014,87
98506,87
2141,87
80538,87
91107,87
92646,87
84058,87
95035,87
60062,87
12309,87
19087,87
84043,87
98072,87
7042,87
21401,86
20120,86
11220,86
84111,86
80231,86
46260,86
98087,86
78230,86
55409,86
18901,86
92028,86
22033,86
77479,86
45140,86
85204,86
10038,86
53212,86
98201,86
80014,86
94605,86
68502,86
44106,86
98027,85
55423,85
35758,85
94022,85
78746,85
43220,85
92008,85
12603,85
59601,85
78665,85
94568,85
60076,85
19038,85
12401,85
30076,85
75006,85
94538,85
20815,85
1915,85
95136,85
27609,85
94588,85
20901,85
84107,85
40207,85
53217,85
8807,85
97501,85
55413,85
63021,84
60010,84
55124,84
78209,84
12561,84
27703,84
11746,84
90016,84
98370,84
61704,84
77845,84
77077,84
55106,84
4401,84
77005,84
77009,84
90731,84
95409,84
23464,84
89129,84
55422,83
75067,83
13760,83
80003,83
98059,83
95831,83
89509,83
97205,83
85224,83
91030,83
92071,83
91206,83
91941,83
3301,83
22407,83
91355,83
1701,83
28804,83
97403,83
95134,83
95670,83
21043,83
94710,83
92592,83
60030,83
94401,83
98042,83
30084,83
94544,82
95826,82
60091,82
3820,82
53562,82
55117,82
33040,82
92870,82
80128,82
3801,82
92131,82
43235,82
33617,82
97218,82
27403,82
28277,82
29464,82
28078,82
92123,82
99801,82
91406,82
98070,82
37076,81
66212,81
23452,81
99203,81
99205,81
91501,81
80031,81
94024,81
8054,81
70117,81
60137,81
98005,81
21702,81
37215,81
27502,81
88011,81
60089,81
90012,81
15201,81
33647,81
92704,81
30064,81
92110,81
20175,81
98512,81
40517,81
53715,81
53714,81
94521,81
97080,81
95405,81
28403,80
8904,80
80233,80
80246,80
89503,80
92648,80
75007,80
90630,80
75056,80
77025,80
60504,80
33133,80
43016,80
80111,80
92069,80
83705,79
77449,79
80903,79
33458,79
14534,79
55337,79
89108,79
66046,79
22801,79
2131,79
11743,79
55555,79
46032,79
90265,79
85018,79
94085,79
23221,79
97062,79
85202,79
1752,79
97233,79
99504,79
49504,79
1720,79
19403,79
78752,79
84601,79
10065,79
37221,79
90503,79
2125,78
37917,78
23454,78
94597,78
15218,78
58102,78
92057,78
94587,78
98058,78
95503,78
95006,78
91605,78
43215,78
52245,78
48910,78
95118,78
15232,78
11213,78
85016,78
98146,78
80227,78
75024,78
87544,78
60068,78
89074,78
56001,78
55102,78
84109,78
17601,78
30341,78
90272,78
80920,78
98074,78
98682,78
91214,77
1742,77
94590,77
94598,77
7960,77
94965,77
37075,77
34698,77
30188,77
77429,77
50613,77
37923,77
77096,77
97304,77
27604,77
94108,77
11232,77
11235,77
30102,77
60035,77
94015,77
68506,77
91362,77
97216,77
59802,77
22180,77
87124,76
80909,76
32935,76
10075,76
22206,76
60073,76
41017,76
37216,76
47150,76
43085,76
27587,76
76051,76
78212,76
96753,76
84020,76
97030,76
75075,76
37604,76
98043,76
2176,76
91405,76
77057,76
8854,76
60123,76
27519,76
60016,75
91311,75
23188,75
84010,75
95073,75
22042,75
23223,75
80439,75
84062,75
92612,75
80537,75
95054,75
60007,75
98177,75
8816,75
66061,75
90254,75
75218,75
97306,75
91016,75
27607,75
77070,75
92651,75
19144,75
27312,75
47404,75
90020,75
19083,75
95482,75
10301,75
6880,75
2127,74
87123,74
83706,74
95747,74
20190,74
21236,74
37830,74
92780,74
32803,74
92020,74
32708,74
95814,74
91786,74
85044,74
99362,74
94551,74
37013,74
93402,74
91730,74
27106,74
21202,74
53713,74
94526,74
98662,74
63301,74
90275,74
78756,74
93023,74
36830,74
75019,74
98029,73
55110,73
91343,73
92614,73
90401,73
95117,73
92078,73
92562,73
94583,73
85257,73
20004,73
3062,73
99336,73
95825,73
62901,73
86336,73
11234,73
91306,73
94305,73
17602,73
49505,73
96740,73
97478,72
98221,72
85365,72
21157,72
63110,72
54956,72
48111,72
94595,72
35803,72
80033,72
22043,72
49423,72
84403,72
93110,72
74074,72
54703,72
95687,72
40502,72
40503,72
44256,72
1027,72
47905,72
93436,72
33134,72
75025,72
32256,72
20886,72
84108,72
63303,72
91364,72
5602,72
7040,72
96744,72
6460,71
84094,71
92108,71
91504,71
84015,71
1930,71
75043,71
94560,71
75081,71
85022,71
63109,71
19123,71
92021,71
84123,71
19426,71
55057,71
91304,71
19145,71
37205,71
44122,71
5301,71
43015,71
46227,71
60188,71
30101,71
98660,71
95762,71
33157,71
56560,71
93109,71
98926,71
44102,71
27614,70
98258,70
98023,70
23185,70
46219,70
8901,70
15212,70
92503,70
90031,70
15601,70
19107,70
60304,70
73160,70
76021,70
60612,70
43212,70
37212,70
57106,70
55401,70
30328,70
98405,70
3431,70
10583,70
92672,70
46205,70
84003,70
37064,70
80919,70
60506,70
93420,70
2360,70
70808,70
75035,70
94066,70
11374,70
11373,70
80207,70
97128,70
28210,70
70130,69
92833,69
28269,69
54481,69
92054,69
55118,69
4106,69
8873,69
92617,69
93012,69
98003,69
6010,69
48917,69
91205,69
1890,69
98406,69
30907,69
30041,69
11214,69
19355,69
7002,69
4011,69
77546,69
23228,69
23225,69
19010,69
20176,69
14226,69
95037,69
1201,69
30342,69
27858,69
44121,69
59901,69
55432,69
37128,69
87102,69
92124,69
33467,69
85260,69
58201,69
75204,69
30338,68
30339,68
94518,68
53590,68
49009,68
6902,68
21122,68
95120,68
80126,68
98007,68
78717,68
8648,68
77019,68
94124,68
89052,68
55082,68
98031,68
33143,68
92025,68
74012,68
76244,68
54915,68
92620,68
19808,68
14221,68
93422,68
75028,68
55343,68
30068,68
23112,68
88001,68
77459,68
98203,68
92127,68
80202,68
60654,68
20877,68
42101,68
92688,68
94945,68
76013,68
93611,68
22182,68
93021,68
10018,68
60015,67
55122,67
99208,67
35801,67
24073,67
27529,67
45056,67
6040,67
80906,67
80907,67
78744,67
60532,67
92692,67
8844,67
7052,67
85226,67
1810,67
95973,67
90807,67
60453,67
33021,67
98038,67
65401,67
7410,67
73069,67
60060,67
19027,67
21201,67
85234,67
53716,67
21136,67
98366,67
76116,67
14120,67
6877,67
85296,67
89121,67
12208,66
1062,66
57701,66
43551,66
63017,66
20723,66
12901,66
92084,66
52001,66
92649,66
1301,66
78232,66
96815,66
61265,66
80219,66
6492,66
75248,66
32205,66
92708,66
32707,66
80229,66
60634,66
92675,66
75219,66
95821,66
64114,66
78247,66
37122,66
92120,66
38655,66
19002,66
63146,66
6457,66
84041,66
43209,66
60516,66
32084,66
92262,65
2120,65
76209,65
95823,65
55125,65
95662,65
20121,65
84093,65
18104,65
30152,65
68104,65
21784,65
53593,65
29205,65
34232,65
32826,65
8053,65
92081,65
93111,65
11790,65
37214,65
85020,65
91910,65
22554,65
95758,65
91411,65
77095,65
14222,65
63366,65
91709,65
29483,65
7666,65
33713,65
95678,65
91302,65
91307,65
60187,65
18018,65
38111,65
40515,65
98168,65
46383,65
63139,65
29414,65
2703,65
23233,65
99577,65
98683,65
98685,65
31419,65
29445,65
90620,64
89523,64
98020,64
99206,64
32312,64
78250,64
78254,64
94596,64
30305,64
55119,64
84119,64
84116,64
37421,64
29732,64
93446,64
80904,64
48439,64
94533,64
43402,64
80634,64
90402,64
27704,64
85021,64
76210,64
30040,64
94582,64
21093,64
92705,64
77098,64
95132,64
91011,64
60067,64
30345,64
91301,64
94510,64
21209,64
52403,64
38501,64
19406,64
12590,64
60047,64
80516,64
62704,64
90505,64
98607,63
66215,63
19464,63
55421,63
55427,63
91765,63
33411,63
79936,63
21009,63
45040,63
95603,63
3038,63
18015,63
37405,63
66208,63
8108,63
29485,63
80214,63
2421,63
10314,63
37922,63
91789,63
21014,63
55347,63
97526,63
37919,63
89147,63
60189,63
26501,63
95355,63
33155,63
80110,63
95610,63
33063,63
78722,63
44691,63
33604,63
90504,63
95020,63
95820,62
1886,62
92804,62
10591,62
97221,62
63129,62
85704,62
60193,62
21231,62
22046,62
49006,62
80234,62
43229,62
85750,62
84404,62
22205,62
80129,62
80122,62
94563,62
48309,62
19320,62
78610,62
44077,62
83814,62
45458,62
91202,62
92563,62
33020,62
60169,62
44060,62
63108,62
32308,62
48187,62
15202,62
95066,62
96003,62
91040,62
76248,62
80917,62
34787,62
19026,62
19020,62
14216,62
43017,62
55431,62
6824,62
20715,62
20037,62
29412,62
11706,62
94089,62
6066,62
60515,62
90290,61
55126,61
75098,61
95667,61
99202,61
2903,61
94513,61
95621,61
49008,61
49424,61
60564,61
49546,61
43123,61
89506,61
66202,61
98230,61
46037,61
97540,61
49686,61
90703,61
30317,61
14624,61
91356,61
10312,61
95624,61
24401,61
27560,61
14213,61
96817,61
23322,61
46530,61
92867,61
24018,61
46143,61
17013,61
97321,61
95407,61
22102,61
91710,61
8753,61
90293,60
94134,60
11223,60
23455,60
23456,60
90005,60
48116,60
15216,60
20015,60
8003,60
63011,60
84117,60
45219,60
90245,60
19106,60
94931,60
89502,60
48307,60
46237,60
91201,60
91324,60
90013,60
48124,60
92026,60
94509,60
85635,60
84129,60
2451,60
45220,60
43065,60
37920,60
32789,60
33071,60
85048,60
19111,60
92019,60
98198,60
48858,60
32257,60
98092,60
98684,60
75228,60
10035,60
84341,60
90813,60
46307,60
99507,60
93455,60
37042,60
94019,60
32606,60
83642,60
18042,60
7860,60
72712,60
89015,60
93103,60
10462,60
33065,60
55044,60
92065,60
92264,59
92886,59
95661,59
8820,59
98223,59
13905,59
84663,59
7076,59
78253,59
85008,59
60543,59
96768,59
8520,59
40241,59
80403,59
95835,59
21030,59
85014,59
84088,59
32309,59
85013,59
19702,59
97116,59
21114,59
90250,59
7039,59
85205,59
55345,59
50312,59
60103,59
94111,59
48071,59
18974,59
20148,59
60659,59
47304,59
95350,59
80113,59
94949,59
97322,59
20853,59
54901,59
98275,59
98075,59
65802,59
20770,59
77063,58
77062,58
73013,58
93536,58
2116,58
32907,58
97070,58
32174,58
95127,58
11561,58
60074,58
91103,58
85028,58
95110,58
55369,58
93306,58
83815,58
35242,58
15108,58
32771,58
98037,58
46033,58
3833,58
49441,58
95492,58
95819,58
43068,58
61822,58
95519,58
27526,58
7307,58
20879,58
97527,58
94063,58
91801,58
97236,58
91745,58
94803,58
94805,58
96720,58
33166,58
60031,58
75071,58
77004,58
45424,58
98248,58
83646,58
96778,58
60048,58
98277,58
60517,58
90740,58
45440,57
92882,57
32225,57
60013,57
44224,57
39759,57
28711,57
94591,57
75252,57
91977,57
98584,57
23060,57
45431,57
52404,57
76107,57
32724,57
2840,57
80241,57
96150,57
21703,57
44111,57
48912,57
91911,57
77381,57
2132,57
12477,57
91321,57
63104,57
32806,57
92027,57
22032,57
91351,57
70506,57
92840,57
78216,57
95030,57
45840,57
72205,57
14214,57
83713,57
27103,57
23116,57
18017,57
15224,57
55379,57
98665,57
97086,57
92604,57
17011,57
3104,57
91361,57
1950,57
11050,57
10708,56
76205,56
21403,56
55123,56
32746,56
97227,56
90006,56
78259,56
8234,56
34668,56
93535,56
32210,56
7450,56
80237,56
45215,56
81623,56
78006,56
80247,56
95833,56
99223,56
80215,56
75243,56
29407,56
84124,56
80223,56
28226,56
2879,56
92831,56
95822,56
15228,56
33312,56
7728,56
