City,Count
"Morgantown, WV",190
"Pompano Beach, FL",190
"Annapolis, MD",189
"Ames, IA",189
"Corpus Christi, TX",188
"Waltham, MA",188
"Woodbridge, VA",187
"Modesto, CA",185
"Duluth, MN",184
"Erie, PA",184
"Mobile, AL",183
"Cupertino, CA",183
"Fort Myers, FL",182
"Sterling, VA",181
"Garland, TX",181
"miami, FL",179
"Carrollton, TX",179
"Evansville, IN",179
"Stockton, CA",179
"West Palm Beach, FL",178
"Los Gatos, CA",178
"Lafayette, IN",177
"Bethlehem, PA",176
"Manchester, NH",176
"Golden, CO",176
"El Cajon, CA",176
"New York City, NY",175
"Ogden, UT",175
"Studio City, CA",175
"Pleasanton, CA",175
"Livermore, CA",173
"Olathe, KS",173
"Chesapeake, VA",173
"Amherst, MA",173
"Royal Oak, MI",172
"austin, TX",172
"New York, NH",171
"Herndon, VA",171
"Princeton, NJ",171
"Campbell, CA",171
"Menlo Park, CA",170
"Thousand Oaks, CA",170
"Sioux Falls, SD",170
"Manassas, VA",170
"Kennesaw, GA",170
"Lakeland, FL",169
"Encinitas, CA",169
"Mill Valley, CA",169
"Emeryville, CA",169
"Roseville, CA",168
"Roswell, GA",168
"houston, TX",168
"La Jolla, CA",168
"Vienna, VA",167
"Whittier, CA",167
"Stamford, CT",167
"Nashua, NH",166
"Chula Vista, CA",165
"Rockford, IL",164
"Bremerton, WA",164
"Springfield, OR",164
"Brooklyn, NJ",163
"Metairie, LA",163
"Bradenton, FL",161
"El Cerrito, CA",159
"Hoboken, NJ",159
"san diego, CA",158
"Quincy, MA",158
"Mission Viejo, CA",157
"Green Bay, WI",157
"Northampton, MA",157
"La Mesa, CA",156
"York, PA",156
"Winston Salem, NC",155
"Lake Oswego, OR",155
"Loveland, CO",155
"Lakewood, OH",154
"Logan, UT",154
"Springfield, VA",154
"Corona, CA",154
"Edmond, OK",153
"Shreveport, LA",153
"Ocala, FL",152
"Edmonds, WA",152
"Boynton Beach, FL",152
"Woodland Hills, CA",152
"Harrisburg, PA",151
"Ellicott City, MD",150
"Springfield, IL",150
"Lafayette, LA",149
"Ashburn, VA",149
"Napa, CA",149
"Vista, CA",147
"Portland, OH",147
"Appleton, WI",147
"Eau Claire, WI",146
"San Marcos, CA",146
"Laurel, MD",145
"Parker, CO",145
"Elk Grove, CA",143
"Cedar Park, TX",143
"Manhattan, KS",143
"Los Altos, CA",142
"Centennial, CO",142
"Medford, OR",142
"Peoria, AZ",141
"Henrico, VA",141
"Camarillo, CA",141
"Martinez, CA",141
"Redding, CA",140
"Newport News, VA",140
"Fishers, IN",140
"San Marcos, TX",140
"East Lansing, MI",139
"NY, NY",139
"Vallejo, CA",139
"Lafayette, CO",139
"Rancho Cucamonga, CA",138
"Castro Valley, CA",138
"Valley Village, CA",138
"Frisco, TX",138
"Issaquah, WA",138
"Salinas, CA",137
"Encino, CA",137
"Troy, MI",137
"Shoreline, WA",136
"Folsom, CA",136
"Watertown, MA",136
"South Bend, IN",135
"Pflugerville, TX",135
"Norcross, GA",134
"Augusta, GA",134
"Louisville, CO",134
"Reading, PA",134
"Lake Worth, FL",134
"Poughkeepsie, NY",134
"Peoria, IL",133
"White Plains, NY",133
"Allen, TX",133
"Troy, NY",132
"Kissimmee, FL",132
"Chicago, IA",131
"Brooklyn, NH",131
"Acworth, GA",131
"Miami Beach, FL",131
"Independence, MO",131
"Williamsburg, VA",131
"Thornton, CO",131
"Palm Bay, FL",130
"San Leandro, CA",130
"Puyallup, WA",130
"Garden Grove, CA",130
"Aptos, CA",130
"Gresham, OR",130
"Clovis, CA",129
"Rohnert Park, CA",129
"Normal, IL",129
"San Juan, PR",129
"Muncie, IN",128
"Temecula, CA",128
"Bainbridge Island, WA",128
"Framingham, MA",128
"Centreville, VA",128
"Canton, OH",128
"Carmel, IN",128
"Franklin, TN",127
"Cumming, GA",127
"Flushing, NY",127
"Oviedo, FL",127
"Lowell, MA",127
"Hialeah, FL",126
"Sugar Land, TX",126
"Leesburg, VA",126
"Los Angeles, AZ",126
"Grand Junction, CO",126
"Lancaster, CA",126
"Montgomery, AL",126
"Elgin, IL",125
"Yonkers, NY",125
"Cape Coral, FL",125
"Newton, MA",125
"Auburn, WA",124
"Redlands, CA",124
"Billings, MT",124
"Apex, NC",123
"Allston, MA",123
"Dublin, OH",123
"Woodinville, WA",123
"Racine, WI",123
"Traverse City, MI",122
"Holland, MI",122
"San Francisco, AZ",122
"Arcata, CA",122
"Fayetteville, NC",122
"Oxnard, CA",122
"Clarksville, TN",121
"Durango, CO",121
"St. Petersburg, FL",121
"Federal Way, WA",121
"Delray Beach, FL",121
"San Ramon, CA",120
"Palm Springs, CA",120
"Altadena, CA",120
"LA, CA",120
"Fairbanks, AK",119
"Sammamish, WA",119
"Murrieta, CA",119
"Northridge, CA",119
"Germantown, MD",119
"phoenix, AZ",118
"San Carlos, CA",118
"Grass Valley, CA",117
"Livonia, MI",117
"Tuscaloosa, AL",117
"Norwalk, CT",117
"Edison, NJ",117
"Smyrna, GA",117
"Dearborn, MI",116
"Bowling Green, KY",116
"San Bernardino, CA",116
"Eden Prairie, MN",116
