State,Count
CA,72079
NY,31152
TX,25063
FL,21437
WA,18709
IL,17703
PA,15708
MA,14101
OR,12605
OH,12446
NJ,12409
CO,12371
MI,12229
VA,11365
AZ,10570
NC,10148
GA,9751
MD,9403
MN,9000
WI,7069
IN,7004
MO,6704
TN,6629
CT,4996
UT,4743
OK,4192
KY,4103
IA,3946
NM,3797
SC,3739
NH,3673
NV,3599
AL,3483
KS,3464
ME,3389
ID,3303
LA,3051
AR,2652
SD,2503
DC,2474
NE,2409
HI,2106
VT,1906
AK,1827
DE,1769
RI,1635
MT,1598
WV,1407
MS,1385
ND,889
VI,867
PR,713
WY,690
NONE,448
GU,130
PW,72
FM,33
AS,31
MH,21
MP,21
